total_cup_points,country_of_origin,harvest_year,variety,processing_method,moisture,category_one_defects,quakers,color,category_two_defects,altitude_mean_meters,region
89.92,Ethiopia,2014,Other,Washed / Wet,0.12,0,0.0,Green,1,2075.0,East Africa and the Arabian Peninsula
88.83,Ethiopia,2014,Other,Washed / Wet,0.12,0,0.0,Green,2,2075.0,East Africa and the Arabian Peninsula
88.25,Ethiopia,2014,Other,Natural / Dry,0.1,0,0.0,Green,4,1822.5,East Africa and the Arabian Peninsula
87.25,China,2015,Catimor,Washed / Wet,0.1,0,0.0,Green,0,1450.0,Southeast Asia and the Pacific
87.25,United States,2014,Other,Washed / Wet,0.0,0,0.0,None,0,2019.0,Southeast Asia and the Pacific
87.17,Costa Rica,2014,Caturra,Washed / Wet,0.11,0,0.0,Green,2,1300.0,Latin America
87.17,Mexico,2012,Other,Washed / Wet,0.13,0,0.0,Green,0,1320.0,Latin America
86.92,Brazil,2011,Bourbon,Natural / Dry,0.12,0,0.0,Green,2,1250.0,Latin America
86.83,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,1,1950.0,East Africa and the Arabian Peninsula
86.58,Taiwan,2015,Sumatra,Pulped natural / honey,0.0,0,0.0,Green,0,1200.0,Southeast Asia and the Pacific
86.42,Brazil,2011,Bourbon,Natural / Dry,0.12,0,0.0,Green,2,1300.0,Latin America
86.33,Costa Rica,2015/2016,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,0,1300.0,Latin America
86.25,Kenya,2013,SL34,Washed / Wet,0.12,0,0.0,Blue-Green,1,1800.0,East Africa and the Arabian Peninsula
86.17,Thailand,2012,Caturra,Washed / Wet,0.1,1,0.0,Green,9,1300.0,Southeast Asia and the Pacific
86.08,Taiwan,2015,Bourbon,Semi-washed / Semi-pulped,0.12,0,0.0,Green,0,1000.0,Southeast Asia and the Pacific
86.08,Kenya,2014,SL28,Natural / Dry,0.11,0,0.0,Bluish-Green,2,1754.0,East Africa and the Arabian Peninsula
86.08,Brazil,2011,Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,Blue-Green,2,1250.0,Latin America
86.0,Colombia,2013,Caturra,Washed / Wet,0.12,1,0.0,Green,1,1200.0,Latin America
86.0,Kenya,2013,SL28,Washed / Wet,0.11,0,0.0,Green,1,1860.0,East Africa and the Arabian Peninsula
86.0,Uganda,2012,Other,Washed / Wet,0.1,0,0.0,Blue-Green,0,1650.0,East Africa and the Arabian Peninsula
85.92,Uganda,2013,SL14,Natural / Dry,0.12,0,0.0,Green,0,1650.0,East Africa and the Arabian Peninsula
85.92,Colombia,2013,Caturra,Washed / Wet,0.0,1,0.0,Blue-Green,0,1800.0,Latin America
85.83,Panama,2017,Gesha,Washed / Wet,0.08,0,1.0,Bluish-Green,0,1600.0,Latin America
85.83,Guatemala,2012,Bourbon,Washed / Wet,0.12,0,0.0,Green,3,1524.0,Latin America
85.83,Guatemala,2012,Catuai,Washed / Wet,0.1,0,0.0,Bluish-Green,1,1417.32,Latin America
