total_cup_points,country_of_origin,harvest_year,variety,processing_method,moisture,category_one_defects,quakers,color,category_two_defects,altitude_mean_meters,region
85.58,El Salvador,2013,Bourbon,Washed / Wet,0.1,0,0.0,Blue-Green,3,1500.0,Latin America
85.58,El Salvador,2012,Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,None,0,1350.0,Latin America
85.5,Kenya,2014,SL28,Natural / Dry,0.1,0,0.0,Green,3,1900.0,East Africa and the Arabian Peninsula
85.5,Ethiopia,2015,Other,Natural / Dry,0.12,0,0.0,Green,7,1900.0,East Africa and the Arabian Peninsula
85.5,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,1,1600.0,East Africa and the Arabian Peninsula
85.5,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,1,1731.264,Latin America
85.42,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,5,1950.0,East Africa and the Arabian Peninsula
85.42,Brazil,2011,Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,Blue-Green,1,1250.0,Latin America
85.33,China,2015,Catimor,Natural / Dry,0.1,0,0.0,Green,0,1700.0,Southeast Asia and the Pacific
85.33,Guatemala,2014,Pacamara,Natural / Dry,0.11,0,0.0,Green,1,1770.0,Latin America
85.33,Costa Rica,2014,Caturra,Washed / Wet,0.0,0,0.0,Bluish-Green,0,1300.0,Latin America
85.33,Costa Rica,2014,Caturra,Washed / Wet,0.1,0,0.0,Bluish-Green,2,1300.0,Latin America
85.33,Kenya,2012,SL34,Washed / Wet,0.0,0,0.0,Green,2,1600.0,East Africa and the Arabian Peninsula
85.33,Kenya,2012,SL34,Washed / Wet,0.0,0,0.0,Green,6,1200.0,East Africa and the Arabian Peninsula
85.25,Colombia,2015,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1550.0,Latin America
85.25,Colombia,2014,Caturra,Natural / Dry,0.12,0,0.0,Green,2,1550.0,Latin America
85.17,Indonesia,2012,Sumatra Lintong,Semi-washed / Semi-pulped,0.11,0,0.0,Green,3,1325.0,Southeast Asia and the Pacific
85.08,Colombia,2012,Caturra,Natural / Dry,0.11,0,0.0,Green,8,2136.0,Latin America
85.0,Uganda,2016,SL14,Washed / Wet,0.11,0,0.0,Green,1,1800.0,East Africa and the Arabian Peninsula
85.0,Costa Rica,2016,Catuai,Washed / Wet,0.12,1,1.0,Green,1,1900.0,Latin America
85.0,Mexico,2015,Typica,Washed / Wet,0.09,0,0.0,Green,3,1300.0,Latin America
85.0,Kenya,2012,SL34,Washed / Wet,0.0,0,0.0,Green,5,1580.0,East Africa and the Arabian Peninsula
85.0,Brazil,2012,Mundo Novo,Natural / Dry,0.12,0,0.0,Green,3,1100.0,Latin America
84.92,Colombia,2015,Caturra,Washed / Wet,0.12,0,0.0,Green,1,1775.0,Latin America
84.92,Taiwan,2015,Typica,Semi-washed / Semi-pulped,0.11,0,0.0,Green,0,800.0,Southeast Asia and the Pacific
84.92,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.12,0,0.0,Green,2,1620.0,East Africa and the Arabian Peninsula
84.92,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,3,1775.0,Latin America
84.92,Brazil,2011,Bourbon,Natural / Dry,0.11,0,0.0,Green,2,1200.0,Latin America
84.92,Brazil,2011,Catuai,Natural / Dry,0.12,0,0.0,Green,2,1000.0,Latin America
84.83,Taiwan,2016,Typica,Natural / Dry,0.0,0,0.0,Green,0,350.0,Southeast Asia and the Pacific
84.83,Uganda,2013,SL14,Natural / Dry,0.12,0,0.0,Green,1,1650.0,East Africa and the Arabian Peninsula
84.75,Kenya,2014,SL34,Washed / Wet,0.13,0,0.0,Green,0,1800.0,East Africa and the Arabian Peninsula
84.75,Honduras,2014,Catuai,Washed / Wet,0.11,0,0.0,Green,4,1450.0,Latin America
84.67,El Salvador,2016,Bourbon,Washed / Wet,0.0,0,0.0,Blue-Green,2,1350.0,Latin America
84.67,Indonesia,2016,Java,Washed / Wet,0.12,0,0.0,Green,7,1200.0,Southeast Asia and the Pacific
84.67,Costa Rica,2015,Catuai,Washed / Wet,0.1,0,0.0,Blue-Green,2,1150.0,Latin America
84.67,Guatemala,2015,Bourbon,Washed / Wet,0.1,0,0.0,Green,1,1600.0,Latin America
84.67,Costa Rica,2014,Caturra,Washed / Wet,0.12,0,0.0,Green,0,1750.0,Latin America
84.67,Costa Rica,2014,Other,Other,0.08,0,0.0,Green,1,1750.0,Latin America
84.67,Costa Rica,2014,Catuai,Washed / Wet,0.11,0,0.0,Green,4,1200.0,Latin America
84.67,Taiwan,2013/2014,Typica,Washed / Wet,0.11,0,0.0,Green,0,1000.0,Southeast Asia and the Pacific
84.67,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Green,0,1550.0,Latin America
84.67,Kenya,2012,SL28,Washed / Wet,0.11,0,0.0,Bluish-Green,0,2000.0,East Africa and the Arabian Peninsula
84.67,Guatemala,2012,Bourbon,Washed / Wet,0.11,0,0.0,Green,4,1310.64,Latin America
84.67,Guatemala,2012,Bourbon,Washed / Wet,0.12,0,0.0,Green,4,1524.0,Latin America
84.67,Uganda,2012,Other,Washed / Wet,0.11,0,0.0,Blue-Green,3,1775.0,East Africa and the Arabian Peninsula
84.58,Colombia,2016,Other,Washed / Wet,0.0,0,0.0,Blue-Green,4,1500.0,Latin America
84.58,Kenya,2013,Peaberry,Washed / Wet,0.1,0,0.0,Bluish-Green,2,1800.0,East Africa and the Arabian Peninsula
84.58,Guatemala,2014,Pacas,Washed / Wet,0.11,0,0.0,Green,1,1524.0,Latin America
84.58,Guatemala,2014,Bourbon,Washed / Wet,0.09,0,0.0,Green,0,1219.2,Latin America
84.58,Colombia,2012,Caturra,Washed / Wet,0.0,0,0.0,Green,2,1750.0,Latin America
84.58,Costa Rica,2012,Bourbon,Semi-washed / Semi-pulped,0.12,0,0.0,Bluish-Green,2,1575.0,Latin America
84.58,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,6,1800.0,Latin America
84.58,Brazil,2011,Bourbon,Semi-washed / Semi-pulped,0.12,0,0.0,Green,2,1300.0,Latin America
84.58,Brazil,2011,Catuai,Semi-washed / Semi-pulped,0.11,0,0.0,Blue-Green,1,1100.0,Latin America
84.5,Costa Rica,2017 / 2018,Caturra,Washed / Wet,0.1,0,0.0,Bluish-Green,2,1200.0,Latin America
84.5,Uganda,2016,SL14,Washed / Wet,0.11,0,0.0,Green,1,1750.0,East Africa and the Arabian Peninsula
84.5,China,2015,Catimor,Washed / Wet,0.1,0,0.0,Green,1,1680.0,Southeast Asia and the Pacific
84.5,Costa Rica,2014,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1700.0,Latin America
84.5,Colombia,2015/2016,Other,Washed / Wet,0.12,1,0.0,Green,0,1800.0,Latin America
84.5,China,2013,Other,Washed / Wet,0.0,0,0.0,Green,2,1100.0,Southeast Asia and the Pacific
84.5,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1310.64,Latin America
84.5,Kenya,2012,SL28,Washed / Wet,0.11,0,0.0,Blue-Green,0,2000.0,East Africa and the Arabian Peninsula
84.5,Mexico,2012,Typica,Washed / Wet,0.12,0,0.0,Green,0,1350.0,Latin America
84.42,Costa Rica,2016,Caturra,Washed / Wet,0.1,0,0.0,Blue-Green,3,1300.0,Latin America
84.42,Indonesia,2017,Mandheling,Other,0.0,0,0.0,Blue-Green,3,1400.0,Southeast Asia and the Pacific
84.42,Colombia,2014,Caturra,Washed / Wet,0.0,0,0.0,Green,3,1775.0,Latin America
84.42,Taiwan,2012,Typica,Washed / Wet,0.11,0,0.0,Blue-Green,0,1200.0,Southeast Asia and the Pacific
84.33,Kenya,2017 / 2018,SL28,Washed / Wet,0.11,0,0.0,Green,4,1800.0,East Africa and the Arabian Peninsula
84.33,Honduras,2016,Catuai,Washed / Wet,0.11,0,1.0,Green,2,1500.0,Latin America
84.33,Colombia,2015,Caturra,Natural / Dry,0.11,6,0.0,Green,0,442.0,Latin America
84.33,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Green,0,1800.0,Latin America
84.33,Mexico,2012,Typica,Washed / Wet,0.12,0,0.0,Blue-Green,1,1700.0,Latin America
84.25,Taiwan,2016,Typica,Washed / Wet,0.12,0,0.0,Blue-Green,0,1000.0,Southeast Asia and the Pacific
84.25,Thailand,2015,Catimor,Natural / Dry,0.12,0,0.0,Green,0,1200.0,Southeast Asia and the Pacific
84.25,Colombia,2016,Caturra,Natural / Dry,0.11,0,0.0,Green,2,2560.0,Latin America
84.25,Guatemala,2016,Caturra,Washed / Wet,0.11,0,4.0,Green,4,1500.0,Latin America
84.25,Guatemala,2015,Caturra,Washed / Wet,0.1,0,0.0,Green,1,1099.4136,Latin America
84.25,China,2015,Catimor,Natural / Dry,0.1,0,0.0,Green,1,1400.0,Southeast Asia and the Pacific
84.25,Colombia,2015,Caturra,Washed / Wet,0.11,0,0.0,Green,3,1775.0,Latin America
84.25,Colombia,2015,Caturra,Washed / Wet,0.12,4,0.0,Green,2,1775.0,Latin America
84.25,Colombia,2015/2016,Other,Washed / Wet,0.12,0,0.0,Green,0,1800.0,Latin America
84.25,Colombia,2015,Caturra,Natural / Dry,0.12,3,0.0,Green,0,442.0,Latin America
84.25,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.12,0,0.0,Green,7,1620.0,East Africa and the Arabian Peninsula
84.25,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.12,0,0.0,Green,2,1600.0,East Africa and the Arabian Peninsula
84.25,Guatemala,2014,Bourbon,Other,0.1,0,0.0,Green,1,1219.2,Latin America
84.25,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,2,1700.0,Latin America
84.25,Mexico,2012,Typica,Semi-washed / Semi-pulped,0.12,0,0.0,Green,1,1450.0,Latin America
84.25,Mexico,2012,Bourbon,Washed / Wet,0.12,0,0.0,Green,0,1170.0,Latin America
84.25,Mexico,2012,Bourbon,Washed / Wet,0.1,0,0.0,Bluish-Green,4,1400.0,Latin America
84.25,Uganda,2012,Other,Natural / Dry,0.13,4,0.0,Green,29,1700.0,East Africa and the Arabian Peninsula
84.17,Guatemala,2017,Bourbon,Washed / Wet,0.13,0,0.0,Green,1,1700.0,Latin America
84.17,Costa Rica,2016,Caturra,Washed / Wet,0.09,0,0.0,Bluish-Green,2,1700.0,Latin America
84.17,Guatemala,2016,Caturra,Washed / Wet,0.11,0,0.0,Green,6,1116.7872,Latin America
84.17,Guatemala,2016,Caturra,Washed / Wet,0.1,0,1.0,Green,10,1565.0,Latin America
84.17,Guatemala,2016,Bourbon,Washed / Wet,0.1,0,0.0,Green,2,3280.0,Latin America
84.17,Colombia,2015,Caturra,Washed / Wet,0.0,0,0.0,Bluish-Green,0,1775.0,Latin America
84.17,Nicaragua,2015,Caturra,Natural / Dry,0.12,0,0.0,Bluish-Green,0,1000.0,Latin America
84.17,Costa Rica,2014,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,0,1850.0,Latin America
84.17,Ethiopia,2014,Gesha,Natural / Dry,0.1,0,0.0,Green,5,1606.5,East Africa and the Arabian Peninsula
84.17,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.13,0,0.0,Green,0,1400.0,East Africa and the Arabian Peninsula
84.17,Colombia,2014/2015,Other,Washed / Wet,0.12,0,0.0,Green,4,1530.0,Latin America
84.17,Kenya,2013,SL28,Washed / Wet,0.08,0,0.0,Green,0,250.5,East Africa and the Arabian Peninsula
84.17,Brazil,2012,Mundo Novo,Natural / Dry,0.11,0,0.0,Green,3,1038.5,Latin America
84.17,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,4,1310.64,Latin America
84.17,El Salvador,2013,Bourbon,Natural / Dry,0.11,0,0.0,Bluish-Green,2,1500.0,Latin America
84.17,Colombia,2012,Caturra,Washed / Wet,0.0,0,0.0,Green,2,1750.0,Latin America
84.17,Uganda,2012,Other,Washed / Wet,0.11,0,0.0,Green,1,1600.0,East Africa and the Arabian Peninsula
84.08,Colombia,2017 / 2018,Caturra,Washed / Wet,0.0,1,3.0,Green,3,442.0,Latin America
84.08,Taiwan,2016,Typica,Washed / Wet,0.1,0,0.0,Bluish-Green,4,968.0,Southeast Asia and the Pacific
84.08,Guatemala,2014,Bourbon,Washed / Wet,0.1,0,0.0,Bluish-Green,10,1550.0,Latin America
84.08,Mexico,2012,Typica,Washed / Wet,0.11,1,0.0,Green,10,1480.0,Latin America
84.0,Ethiopia,2017,Gesha,Natural / Dry,0.11,3,11.0,Green,1,1800.0,East Africa and the Arabian Peninsula
84.0,Honduras,2017,Caturra,Washed / Wet,0.1,0,0.0,Green,5,1500.0,Latin America
84.0,Guatemala,2015,Caturra,Washed / Wet,0.12,0,0.0,Green,7,1706.88,Latin America
84.0,Colombia,2014/2015,Other,Washed / Wet,0.11,2,0.0,Green,7,1600.0,Latin America
84.0,Guatemala,2014,Bourbon,Natural / Dry,0.1,0,0.0,Green,1,1219.2,Latin America
84.0,Guatemala,2014,Bourbon,Other,0.1,0,0.0,Green,0,1219.2,Latin America
84.0,Colombia,2014,Caturra,Natural / Dry,0.12,0,0.0,Green,0,1450.0,Latin America
84.0,Colombia,2014,Caturra,Washed / Wet,0.12,0,0.0,Green,3,1775.0,Latin America
84.0,Ethiopia,2013,Other,Natural / Dry,0.09,4,0.0,Green,40,1550.0,East Africa and the Arabian Peninsula
84.0,Brazil,2013/2014,Yellow Bourbon,Natural / Dry,0.1,0,0.0,Green,0,1260.0,Latin America
84.0,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1700.0,Latin America
84.0,Kenya,2012,SL34,Washed / Wet,0.0,0,0.0,Green,2,1200.0,East Africa and the Arabian Peninsula
84.0,Kenya,2012,SL28,Washed / Wet,0.0,0,0.0,Bluish-Green,0,1650.0,East Africa and the Arabian Peninsula
84.0,Uganda,2012,Other,Washed / Wet,0.1,10,0.0,Green,26,1700.0,East Africa and the Arabian Peninsula
83.92,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.0,0,0.0,Green,3,890.0,Latin America
83.92,Mexico,2017,Mundo Novo,Washed / Wet,0.11,0,0.0,Green,5,1300.0,Latin America
83.92,Thailand,2015,Catimor,Natural / Dry,0.1,0,0.0,Bluish-Green,1,1350.0,Southeast Asia and the Pacific
83.92,Brazil,2016,Bourbon,Natural / Dry,0.11,0,2.0,Green,7,934.0,Latin America
83.92,Taiwan,2015,Typica,Washed / Wet,0.11,0,0.0,Green,3,1200.0,Southeast Asia and the Pacific
83.92,Colombia,2014,Caturra,Washed / Wet,0.0,0,0.0,Green,1,1775.0,Latin America
83.92,Taiwan,2014,Typica,Washed / Wet,0.06,0,0.0,Green,0,950.0,Southeast Asia and the Pacific
83.92,Colombia,2014,Caturra,Natural / Dry,0.12,0,0.0,Green,3,1550.0,Latin America
83.92,Mexico,2012,Typica,Washed / Wet,0.12,10,0.0,Blue-Green,32,900.0,Latin America
83.92,Mexico,2012,Typica,Washed / Wet,0.0,0,0.0,Green,2,1400.0,Latin America
83.83,Colombia,2017,Caturra,Washed / Wet,0.0,1,0.0,Green,6,2527.0,Latin America
83.83,Costa Rica,2015,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,0,1850.0,Latin America
83.83,Guatemala,2016,Bourbon,Washed / Wet,0.11,0,7.0,Green,6,1500.0,Latin America
83.83,Brazil,2015/2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,0,1.0,Latin America
83.83,Taiwan,2014,Typica,Washed / Wet,0.0,0,0.0,Green,1,525.0,Southeast Asia and the Pacific
83.83,Brazil,2014/2015,Bourbon,Semi-washed / Semi-pulped,0.0,0,0.0,Green,1,1200.0,Latin America
83.83,Costa Rica,2013,Catuai,Washed / Wet,0.1,0,0.0,Green,3,1300.0,Latin America
83.83,Guatemala,2014,Bourbon,Washed / Wet,0.1,0,0.0,Green,1,1219.2,Latin America
83.83,Brazil,2013/2014,Yellow Bourbon,Natural / Dry,0.1,0,0.0,Green,0,1260.0,Latin America
83.83,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1750.0,Latin America
83.83,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,3,1310.64,Latin America
83.83,Mexico,2012,Bourbon,Natural / Dry,0.1,0,0.0,Green,2,1218.0,Latin America
83.83,Brazil,2011/2012,Yellow Bourbon,Semi-washed / Semi-pulped,0.12,0,0.0,Green,3,1250.0,Latin America
83.75,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.11,0,0.0,Green,5,890.0,Latin America
83.75,Colombia,2017,Caturra,Washed / Wet,0.11,0,0.0,Green,1,442.0,Latin America
83.75,Taiwan,2016,Typica,Natural / Dry,0.0,0,0.0,Green,0,750.0,Southeast Asia and the Pacific
83.75,China,2015,Catimor,Washed / Wet,0.1,0,1.0,Green,2,1650.0,Southeast Asia and the Pacific
83.75,Colombia,2015/2016,Caturra,Natural / Dry,0.0,0,0.0,Green,0,442.0,Latin America
83.75,Uganda,2013,Bourbon,Natural / Dry,0.12,0,0.0,Green,0,1400.0,East Africa and the Arabian Peninsula
83.75,United States (Puerto Rico),2013,Other,Washed / Wet,0.12,0,0.0,Green,1,853.44,Latin America
83.75,Colombia,2014,Caturra,Washed / Wet,0.0,0,0.0,Green,5,1775.0,Latin America
83.75,Colombia,2014,Other,Washed / Wet,0.0,0,0.0,Green,3,1550.0,Latin America
83.75,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,1,1750.0,Latin America
83.75,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,3,1750.0,Latin America
83.75,Mexico,2012,Caturra,Natural / Dry,0.13,5,0.0,None,5,700.0,Latin America
83.75,Guatemala,2012,Caturra,Washed / Wet,0.11,0,0.0,Bluish-Green,1,1300.0,Latin America
83.67,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.11,0,0.0,Green,2,890.0,Latin America
83.67,Kenya,2017,SL28,Washed / Wet,0.11,0,0.0,Bluish-Green,0,1700.0,East Africa and the Arabian Peninsula
83.67,Honduras,2016,Caturra,Washed / Wet,0.1,0,0.0,Green,2,1400.0,Latin America
83.67,Nicaragua,2016,Caturra,Washed / Wet,0.1,0,0.0,Green,3,1250.0,Latin America
83.67,Brazil,2016,Bourbon,Natural / Dry,0.11,0,2.0,Green,3,934.0,Latin America
83.67,Taiwan,2015,Caturra,Natural / Dry,0.1,0,0.0,Bluish-Green,0,1200.0,Southeast Asia and the Pacific
83.67,Guatemala,2014,Bourbon,Washed / Wet,0.1,0,0.0,Green,0,1356.6648,Latin America
83.67,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Green,3,1750.0,Latin America
83.67,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Green,1,1900.0,Latin America
83.67,Guatemala,2013,Bourbon,Washed / Wet,0.12,1,0.0,Green,3,1310.64,Latin America
83.67,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1310.64,Latin America
83.67,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1750.0,Latin America
83.67,Guatemala,2012,Caturra,Natural / Dry,0.11,0,0.0,Green,1,1450.0,Latin America
83.67,Guatemala,2012,Bourbon,Washed / Wet,0.11,0,0.0,Green,13,1310.64,Latin America
83.67,Mexico,2012,Typica,Washed / Wet,0.12,4,0.0,Green,11,1100.0,Latin America
83.67,Indonesia,2012,Typica,Washed / Wet,0.12,0,0.0,Green,0,1400.0,Southeast Asia and the Pacific
83.67,Guatemala,2012,Caturra,Washed / Wet,0.1,0,0.0,Green,0,1524.0,Latin America
83.58,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.11,0,0.0,Green,5,890.0,Latin America
83.58,Guatemala,2016,Caturra,Washed / Wet,0.11,0,1.0,Green,0,1128.3696,Latin America
83.58,China,2015,Catimor,Washed / Wet,0.1,0,1.0,Green,4,1100.0,Southeast Asia and the Pacific
83.58,Colombia,2015,Caturra,Washed / Wet,0.12,0,0.0,Green,3,1775.0,Latin America
83.58,Mexico,2014,Caturra,Washed / Wet,0.12,1,0.0,Green,13,1200.0,Latin America
83.58,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,5,1800.0,East Africa and the Arabian Peninsula
83.58,Colombia,2014,Caturra,Natural / Dry,0.0,0,0.0,Green,0,1600.0,Latin America
83.58,Colombia,2014,Caturra,Washed / Wet,0.12,0,0.0,Green,1,1550.0,Latin America
83.58,Taiwan,2013/2014,Typica,Other,0.11,0,0.0,Green,0,1000.0,Southeast Asia and the Pacific
83.58,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,3,1775.0,Latin America
83.58,Colombia,2012,Caturra,Natural / Dry,0.11,0,0.0,Green,4,2136.0,Latin America
83.58,Brazil,2012,Catuai,Semi-washed / Semi-pulped,0.12,0,0.0,Blue-Green,2,1100.0,Latin America
83.5,Colombia,2016,Caturra,Washed / Wet,0.0,0,0.0,Bluish-Green,5,1799.0,Latin America
83.5,Costa Rica,2015,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,0,1850.0,Latin America
83.5,Colombia,2016,Caturra,Natural / Dry,0.0,0,0.0,Green,0,1000.0,Latin America
83.5,Guatemala,2016,Bourbon,Washed / Wet,0.1,0,2.0,Bluish-Green,5,1219.2,Latin America
83.5,Colombia,2015,Caturra,Washed / Wet,0.12,0,0.0,Green,4,1775.0,Latin America
83.5,"Tanzania, United Republic Of",2015,Ruiru 11,Washed / Wet,0.13,0,0.0,Green,21,1400.0,East Africa and the Arabian Peninsula
83.5,Indonesia,2015,Sumatra,Semi-washed / Semi-pulped,0.13,0,0.0,Bluish-Green,8,1500.0,Southeast Asia and the Pacific
83.5,Colombia,2014,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1850.0,Latin America
83.5,Guatemala,2013,Caturra,Washed / Wet,0.1,0,0.0,Green,0,1400.0,Latin America
83.5,Honduras,2014/2015,Caturra,Natural / Dry,0.1,0,0.0,Green,3,1350.0,Latin America
83.5,Colombia,2013,Caturra,Washed / Wet,0.0,1,0.0,Green,1,1750.0,Latin America
83.5,Mexico,2012,Bourbon,Natural / Dry,0.13,0,0.0,Green,14,1170.0,Latin America
83.5,Mexico,2012,Typica,Semi-washed / Semi-pulped,0.11,0,0.0,Green,12,940.0,Latin America
83.5,Mexico,2012,Pacamara,Washed / Wet,0.12,0,0.0,Green,0,1400.0,Latin America
83.5,Guatemala,2012,Caturra,Washed / Wet,0.1,0,0.0,Green,5,1524.0,Latin America
83.5,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1775.0,Latin America
83.5,Guatemala,2012,Bourbon,Washed / Wet,0.0,3,0.0,Green,12,1402.08,Latin America
83.42,Colombia,2017 / 2018,Caturra,Washed / Wet,0.0,0,2.0,Green,1,439.0,Latin America
83.42,Guatemala,2017,Bourbon,Washed / Wet,0.1,0,0.0,Green,3,1700.0,Latin America
83.42,Colombia,2016,Caturra,Washed / Wet,0.11,0,0.0,Green,2,442.0,Latin America
83.42,Costa Rica,2016,Caturra,Washed / Wet,0.09,0,0.0,Blue-Green,4,1850.0,Latin America
83.42,Uganda,2015,SL14,Washed / Wet,0.11,0,0.0,Green,1,1800.0,East Africa and the Arabian Peninsula
83.42,Thailand,2015,Catimor,Washed / Wet,0.13,0,0.0,Bluish-Green,0,1200.0,Southeast Asia and the Pacific
83.42,Colombia,2015,Caturra,Natural / Dry,0.12,4,0.0,Green,0,442.0,Latin America
83.42,"Tanzania, United Republic Of",2014,Bourbon,Washed / Wet,0.13,0,0.0,Green,4,1600.0,East Africa and the Arabian Peninsula
83.42,Colombia,2014/2015,Caturra,Washed / Wet,0.12,0,0.0,Green,1,1813.0,Latin America
83.42,Guatemala,2013,Bourbon,Natural / Dry,0.1,0,0.0,Green,1,1219.2,Latin America
83.42,Guatemala,2014,Caturra,Washed / Wet,0.1,0,0.0,Green,2,1500.0,Latin America
83.42,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,0,1310.64,Latin America
83.42,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,2,1450.0,Latin America
83.33,Brazil,2015/2016,Catuai,Semi-washed / Semi-pulped,0.1,1,0.0,Green,5,1227.0,Latin America
83.33,Mexico,2014,Caturra,Washed / Wet,0.12,0,0.0,Green,2,1200.0,Latin America
83.33,Colombia,2015,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1650.0,Latin America
83.33,"Tanzania, United Republic Of",2014,Other,Semi-washed / Semi-pulped,0.12,0,0.0,Green,6,1700.0,East Africa and the Arabian Peninsula
83.33,Mexico,2013,Other,Washed / Wet,0.12,0,0.0,Green,0,1100.0,Latin America
