,Ridge,RForest_Regressor,RF_classification
fit_time,0.003 (+/- 0.007),0.349 (+/- 0.022),0.130 (+/- 0.005)
score_time,0.003 (+/- 0.007),0.008 (+/- 0.006),0.009 (+/- 0.004)
test_score,-0.065 (+/- 0.594),0.169 (+/- 0.128),0.722 (+/- 0.058)
train_score,0.430 (+/- 0.019),0.887 (+/- 0.008),0.999 (+/- 0.000)
